case_id,submitted_datetime,submitted_date_key,closed_datetime,service_key,team_key,campus_key,cohort_key,lifecycle_stage_key,channel_key,requester_type,case_type,category,priority,current_status,first_response_business_hours,triage_business_hours,assignment_business_hours,resolution_business_hours,first_response_sla_breached,resolution_sla_breached,handoff_count,reopened_flag,repeat_contact_14d,first_contact_resolution_flag,complexity_weight,staff_handle_hours,estimated_cost_aud,case_summary,synthetic_label,ai_theme,ai_summary,ai_recommended_owner,ai_confidence,ai_review_status,source_extract_ts
CASE-005528,2025-12-22 17:48:00,20251222,2025-12-24 23:23:22,1,1.0,1,1,3,1,Student,Complaint,Enrolment changes,P3,Resolved,5.84,4.19,7.67,28.17,0,0,1,0,0,0,0.94,1.41,87.42,Request for help with enrolment changes and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005529,2024-11-30 09:54:00,20241130,2024-12-01 02:08:07,2,5.0,1,7,5,5,Professional Staff,Service Request,Device and software,P4,Resolved,3.0,1.39,1.12,4.45,0,0,0,0,0,1,0.62,0.79,48.98,Unable to complete a university task because of device and software.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005530,2025-08-14 16:47:00,20250814,2025-08-16 02:19:24,1,1.0,2,4,2,1,Student,Service Request,Enrolment changes,P3,Resolved,9.47,4.37,3.04,18.89,0,0,2,1,1,0,1.04,2.41,149.42,Request for help with enrolment changes and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005531,2026-03-12 17:49:00,20260312,2026-03-13 22:56:24,1,4.0,1,4,4,2,Student,Enquiry,Documents and letters,P3,Resolved,6.17,2.67,2.18,16.48,0,0,0,0,0,1,1.02,1.28,79.36,Request for help with documents and letters and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005532,2026-04-30 14:55:00,20260430,2026-05-02 12:30:02,1,4.0,2,4,3,4,Student,Service Request,Documents and letters,P3,Resolved,2.6,1.79,4.17,24.25,0,0,0,0,0,1,1.12,0.88,54.56,Request for help with documents and letters and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005533,2026-07-06 14:25:00,20260706,2026-07-08 04:23:25,2,6.0,1,2,2,1,Student,Service Request,Learning platform,P4,Resolved,6.05,3.01,1.89,23.57,0,0,0,0,1,0,0.65,0.51,31.62,Unable to complete a university task because of learning platform.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005534,2026-04-17 15:58:00,20260417,2026-04-18 15:28:34,1,4.0,2,2,3,1,Student,Service Request,Documents and letters,P4,Resolved,5.47,2.32,3.11,12.9,0,0,1,0,0,0,0.68,0.88,54.56,Request for help with documents and letters and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005535,2026-01-25 13:47:00,20260125,2026-01-27 06:19:13,1,2.0,1,3,2,1,Student,Enquiry,Timetable and class allocation,P4,Resolved,13.94,5.35,5.92,19.86,0,0,1,0,0,0,0.76,1.28,79.36,Request for help with timetable and class allocation and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005536,2025-08-20 14:43:00,20250820,2025-08-28 10:02:25,1,2.0,1,4,3,1,Student,Service Request,Timetable and class allocation,P4,Resolved,2.41,0.93,20.53,115.99,0,1,1,0,1,0,0.73,1.16,71.92,Request for help with timetable and class allocation and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005537,2024-12-30 20:45:00,20241230,2025-01-03 04:24:59,2,5.0,1,4,3,4,Student,Enquiry,Device and software,P3,Merged Duplicate,1.96,0.85,7.28,,0,0,0,0,0,0,0.89,0.81,50.22,Unable to complete a university task because of device and software.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005538,2026-07-15 15:29:00,20260715,2026-07-17 06:16:25,3,9.0,1,7,5,1,Professional Staff,Enquiry,Security and lighting,P4,Resolved,16.96,11.11,3.96,20.92,0,0,2,0,1,0,0.71,1.31,99.22,Service issue reported for security and lighting at the selected campus.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005539,2026-04-28 11:39:00,20260428,2026-04-30 09:03:25,2,6.0,3,4,3,1,Student,Complaint,Learning platform,P3,Resolved,8.72,5.24,3.42,25.52,0,0,0,0,1,0,1.0,0.52,32.24,Unable to complete a university task because of learning platform.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005540,2025-08-04 18:00:00,20250804,2025-08-07 21:21:06,1,4.0,1,4,3,4,Student,Enquiry,Documents and letters,P2,Resolved,8.12,1.94,5.54,44.86,1,1,1,0,0,0,1.64,1.19,73.78,Request for help with documents and letters and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005541,2026-02-11 19:51:00,20260211,2026-02-14 07:01:55,1,2.0,1,4,3,1,Student,Enquiry,Timetable and class allocation,P3,Resolved,5.45,2.5,6.23,32.14,0,0,0,0,0,1,0.95,0.74,45.88,Request for help with timetable and class allocation and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005542,2025-10-17 11:42:00,20251017,2025-10-20 07:02:05,2,5.0,1,7,5,2,Professional Staff,Idea,Account access and login,P3,Resolved,1.33,0.68,10.38,37.78,0,0,1,0,0,0,0.99,1.55,96.1,Unable to complete a university task because of account access and login.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005543,2025-04-20 11:50:00,20250420,2025-04-22 21:06:10,2,5.0,1,1,1,4,Student,Service Request,Account access and login,P4,Resolved,6.44,3.22,8.0,36.92,0,0,2,0,1,0,0.68,1.35,83.7,Unable to complete a university task because of account access and login.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005544,2024-12-04 11:41:00,20241204,2024-12-06 01:30:21,3,10.0,3,3,3,3,Student,Service Request,Accessibility,P4,Cancelled,7.79,3.05,5.04,,0,0,0,0,0,0,0.71,0.59,54.58,Service issue reported for accessibility at the selected campus.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005545,2025-07-07 13:42:00,20250707,2025-07-09 12:25:48,2,5.0,1,4,3,1,Student,Service Request,Account access and login,P2,Resolved,4.75,3.24,2.65,26.16,0,1,2,0,1,0,1.78,2.33,144.46,Unable to complete a university task because of account access and login.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005546,2025-12-15 11:20:00,20251215,2025-12-18 15:46:20,1,2.0,1,5,3,2,Student,Complaint,Timetable and class allocation,P3,Resolved,4.79,2.43,22.77,47.64,0,1,3,0,0,0,1.16,2.28,141.36,Request for help with timetable and class allocation and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005547,2025-02-08 13:34:00,20250208,2025-02-11 13:36:47,1,1.0,1,4,3,2,Student,Complaint,Enrolment changes,P3,Resolved,26.35,7.49,12.06,42.8,1,1,2,1,0,0,1.19,2.16,133.92,Request for help with enrolment changes and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005548,2025-04-20 11:25:00,20250420,2025-04-21 23:39:36,1,1.0,2,1,3,1,Student,Enquiry,Enrolment changes,P3,Resolved,4.17,1.96,6.4,18.58,0,0,1,0,0,0,1.02,1.13,70.06,Request for help with enrolment changes and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005549,2026-03-13 08:14:00,20260313,2026-03-16 00:22:58,1,3.0,1,1,2,4,Student,Complaint,Fees and payments,P2,Resolved,11.96,3.09,5.04,38.4,1,1,0,1,0,0,1.42,1.71,106.02,Request for help with fees and payments and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005550,2025-03-13 18:02:00,20250313,2025-03-20 13:26:04,1,2.0,1,2,3,2,Student,Complaint,Timetable and class allocation,P3,Resolved,14.49,4.96,24.8,102.92,0,1,2,0,1,0,1.02,1.61,99.82,Request for help with timetable and class allocation and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005551,2026-03-30 13:50:00,20260330,2026-03-31 12:19:13,3,8.0,2,2,3,4,Student,Service Request,Teaching room equipment,P3,Resolved,0.94,0.49,1.05,9.36,0,0,0,0,0,1,0.85,0.55,52.1,Service issue reported for teaching room equipment at the selected campus.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005552,2026-03-06 17:06:00,20260306,2026-03-09 01:08:36,1,4.0,1,1,3,1,Student,Enquiry,Documents and letters,P3,Resolved,6.81,3.05,4.22,34.19,0,0,0,0,0,1,1.16,1.21,75.02,Request for help with documents and letters and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005553,2026-04-24 10:09:00,20260424,2026-04-26 15:17:26,3,9.0,1,4,3,3,Student,Service Request,Security and lighting,P2,Resolved,12.44,8.87,4.08,33.0,1,1,1,0,1,0,1.72,1.79,128.98,Service issue reported for security and lighting at the selected campus.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005554,2026-02-19 17:29:00,20260219,2026-02-21 17:18:36,1,3.0,1,4,3,3,Student,Complaint,Fees and payments,P3,Resolved,12.89,5.27,1.78,25.77,0,0,0,0,1,0,1.02,0.66,40.92,Request for help with fees and payments and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005555,2026-06-19 15:24:00,20260619,2026-06-23 12:03:23,2,6.0,3,6,5,2,Academic Staff,Service Request,Learning platform,P3,Resolved,4.88,2.76,6.25,55.98,0,1,0,0,0,1,0.92,0.76,47.12,Unable to complete a university task because of learning platform.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005556,2026-07-07 13:04:00,20260707,2026-07-10 09:54:09,1,4.0,1,4,3,1,Student,Idea,Academic progression,P3,Resolved,5.08,1.55,2.51,40.23,0,1,0,0,1,0,0.98,0.92,57.04,Request for help with academic progression and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005557,2025-12-22 13:55:00,20251222,2025-12-24 09:33:02,1,2.0,2,5,3,2,Student,Enquiry,Timetable and class allocation,P3,Resolved,3.18,2.25,11.55,24.79,0,0,0,0,0,1,1.14,0.54,33.48,Request for help with timetable and class allocation and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005558,2025-02-28 18:45:00,20250228,2025-03-01 13:56:23,2,5.0,2,4,3,2,Student,Service Request,Device and software,P2,Resolved,5.35,3.75,1.74,10.0,0,0,0,0,0,1,1.69,2.13,132.06,Unable to complete a university task because of device and software.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005559,2025-02-12 10:23:00,20250212,2025-02-13 07:34:18,2,5.0,1,1,3,1,Student,Service Request,Multi-factor authentication,P3,Resolved,3.68,1.39,2.15,8.03,0,0,1,0,1,0,1.1,1.27,78.74,Unable to complete a university task because of multi-factor authentication.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005560,2025-05-10 16:46:00,20250510,2025-05-12 18:06:56,2,5.0,2,6,5,2,Academic Staff,Idea,Account access and login,P3,Resolved,7.73,4.01,6.06,29.78,0,0,0,0,1,0,0.86,0.48,29.76,Unable to complete a university task because of account access and login.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005561,2025-02-10 11:51:00,20250210,2025-02-15 05:52:25,1,4.0,1,2,4,1,Student,Idea,Academic progression,P4,Resolved,6.38,2.55,11.64,71.18,0,0,0,0,1,0,0.62,0.3,18.6,Request for help with academic progression and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005562,2026-04-13 13:54:00,20260413,2026-04-18 07:07:35,1,2.0,1,3,3,1,Student,Complaint,Timetable and class allocation,P3,Resolved,3.33,1.24,10.99,69.25,0,1,0,0,0,1,1.09,1.28,79.36,Request for help with timetable and class allocation and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005563,2025-09-08 16:21:00,20250908,2025-09-13 12:23:02,2,5.0,1,6,5,3,Academic Staff,Complaint,Account access and login,P2,Resolved,2.1,1.47,18.15,73.04,0,1,0,0,0,1,1.61,1.31,81.22,Unable to complete a university task because of account access and login.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005564,2025-04-01 10:48:00,20250401,2025-04-02 17:39:29,1,3.0,1,5,2,4,Student,Enquiry,Fees and payments,P4,Resolved,5.87,2.48,2.07,18.97,0,0,0,0,0,1,0.73,0.79,48.98,Request for help with fees and payments and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005565,2026-03-01 19:24:00,20260301,2026-03-03 07:05:49,2,5.0,1,2,2,3,Student,Enquiry,Account access and login,P3,Resolved,4.78,2.5,5.89,21.75,0,0,0,0,0,1,0.87,1.1,68.2,Unable to complete a university task because of account access and login.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005566,2025-08-07 15:09:00,20250807,2025-08-08 22:06:23,1,4.0,1,1,4,2,Student,Service Request,Academic progression,P4,Resolved,3.02,1.17,2.52,14.26,0,0,0,0,0,1,0.6,0.28,17.36,Request for help with academic progression and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005567,2024-11-11 14:02:00,20241111,2024-11-15 00:10:49,2,5.0,1,4,3,2,Student,Enquiry,Device and software,P3,Merged Duplicate,40.43,18.35,11.26,,1,0,0,0,0,0,0.97,1.07,66.34,Unable to complete a university task because of device and software.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005568,2026-07-15 19:54:00,20260715,2026-07-17 02:19:08,3,10.0,1,2,3,4,Student,Idea,Accessibility,P3,Resolved,5.11,2.35,4.42,16.99,0,0,0,0,0,1,1.06,1.35,101.7,Service issue reported for accessibility at the selected campus.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005569,2025-06-03 16:40:00,20250603,2025-06-05 06:43:08,1,4.0,3,5,3,1,Student,Service Request,Documents and letters,P2,Resolved,9.3,5.88,2.36,23.49,1,1,1,0,0,0,1.86,2.62,162.44,Request for help with documents and letters and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005570,2025-07-08 17:40:00,20250708,2025-07-13 02:46:39,3,8.0,3,3,3,1,Student,Service Request,Teaching room equipment,P3,Resolved,4.08,3.04,13.26,65.62,0,1,2,0,1,0,1.08,2.06,145.72,Service issue reported for teaching room equipment at the selected campus.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005571,2025-08-26 11:01:00,20250826,2025-08-29 08:57:38,1,4.0,1,2,4,3,Student,Service Request,Documents and letters,P3,Resolved,4.31,1.99,6.26,42.02,0,1,0,0,0,1,1.05,1.27,78.74,Request for help with documents and letters and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005572,2025-08-19 14:38:00,20250819,2025-08-23 12:09:11,2,7.0,2,1,3,2,Student,Service Request,Wi-Fi and network,P2,Resolved,1.87,0.74,12.06,54.64,0,1,1,0,0,0,1.88,1.41,87.42,Unable to complete a university task because of wi-fi and network.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005573,2025-05-05 08:28:00,20250505,2025-05-08 09:55:16,1,3.0,2,5,3,4,Student,Service Request,Fees and payments,P3,Resolved,5.09,2.27,5.86,46.29,0,1,0,0,0,1,1.07,1.19,73.78,Request for help with fees and payments and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005574,2025-06-16 19:46:00,20250616,2025-06-18 04:16:04,1,4.0,2,2,4,2,Student,Complaint,Academic progression,P2,Resolved,3.28,2.41,3.28,14.9,0,0,2,0,0,0,1.81,1.81,112.22,Request for help with academic progression and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005575,2025-07-18 10:45:00,20250718,2025-07-21 06:02:03,3,9.0,2,4,3,2,Student,Service Request,Study spaces,P2,Resolved,4.75,2.92,5.01,37.31,0,1,2,0,0,0,1.65,2.38,165.56,Service issue reported for study spaces at the selected campus.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005576,2026-03-14 16:47:00,20260314,2026-03-16 03:48:19,2,5.0,3,3,3,2,Student,Idea,Device and software,P3,Resolved,1.69,1.15,2.73,19.0,0,0,0,0,0,1,0.95,0.88,54.56,Unable to complete a university task because of device and software.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005577,2026-06-06 18:07:00,20260606,2026-06-09 11:15:18,2,5.0,3,1,3,2,Student,Idea,Multi-factor authentication,P2,Resolved,4.02,2.02,6.26,39.98,0,1,0,0,0,1,1.85,1.95,120.9,Unable to complete a university task because of multi-factor authentication.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005578,2025-12-04 11:21:00,20251204,2025-12-09 02:44:16,1,4.0,1,1,4,1,Student,Service Request,Academic progression,P3,Resolved,4.17,3.0,9.22,71.53,0,1,0,0,0,1,1.1,1.28,79.36,Request for help with academic progression and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005579,2025-12-25 11:50:00,20251225,2025-12-26 16:38:32,1,1.0,2,2,3,3,Student,Service Request,Enrolment changes,P3,Resolved,5.27,2.44,6.95,17.38,0,0,1,0,0,0,1.02,1.66,102.92,Request for help with enrolment changes and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005580,2025-04-09 20:39:00,20250409,2025-04-11 11:03:16,1,2.0,1,2,3,1,Student,Service Request,Timetable and class allocation,P4,Cancelled,1.43,0.73,11.4,,0,0,1,0,1,0,0.77,1.09,67.58,Request for help with timetable and class allocation and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005581,2025-11-19 15:43:00,20251119,2025-11-21 01:47:32,2,6.0,1,7,5,4,Professional Staff,Enquiry,Learning platform,P4,Resolved,4.11,1.53,3.45,21.22,0,0,0,0,0,1,0.76,0.5,31.0,Unable to complete a university task because of learning platform.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005582,2025-03-27 16:34:00,20250327,2025-04-01 03:08:03,2,5.0,2,7,5,2,Professional Staff,Service Request,Multi-factor authentication,P2,Resolved,8.76,4.16,14.3,63.23,1,1,0,0,0,1,1.4,0.71,44.02,Unable to complete a university task because of multi-factor authentication.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005583,2025-09-12 20:48:00,20250912,2025-09-16 02:11:07,3,9.0,1,7,5,4,Professional Staff,Service Request,HVAC and temperature,P3,Resolved,6.04,1.59,7.41,44.82,0,1,1,0,0,0,1.18,1.77,127.74,Service issue reported for hvac and temperature at the selected campus.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005584,2025-06-22 17:24:00,20250622,2025-06-24 20:39:16,1,1.0,2,3,2,1,Student,Complaint,Enrolment changes,P3,Merged Duplicate,7.35,2.8,6.04,,0,0,1,0,0,0,0.86,1.37,84.94,Request for help with enrolment changes and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005585,2024-09-09 15:23:00,20240909,2024-09-11 06:54:59,1,2.0,1,2,3,1,Student,Service Request,Timetable and class allocation,P4,Resolved,14.82,7.76,8.5,23.32,0,0,0,0,0,1,0.78,0.86,53.32,Request for help with timetable and class allocation and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005586,2026-03-04 13:44:00,20260304,2026-03-10 09:44:34,1,3.0,2,4,3,3,Student,Service Request,Fees and payments,P3,Resolved,8.87,3.9,11.61,87.98,0,1,0,0,0,1,1.13,0.62,38.44,Request for help with fees and payments and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005587,2025-05-14 19:45:00,20250514,2025-05-15 23:33:10,3,9.0,1,1,4,4,Student,Enquiry,Cleanliness,P2,Resolved,4.8,2.37,2.59,13.49,0,0,0,0,1,0,1.83,1.36,102.32,Service issue reported for cleanliness at the selected campus.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005588,2024-11-05 13:36:00,20241105,2024-11-06 04:15:40,2,5.0,3,7,5,1,Professional Staff,Complaint,Account access and login,P3,Resolved,5.38,2.75,1.37,6.75,0,0,1,0,1,0,0.96,1.47,91.14,Unable to complete a university task because of account access and login.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005589,2026-03-26 10:11:00,20260326,2026-03-28 23:37:00,1,2.0,1,1,3,2,Student,Enquiry,Timetable and class allocation,P3,Cancelled,11.67,3.32,5.49,,0,0,0,0,0,0,0.93,0.49,30.38,Request for help with timetable and class allocation and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005590,2025-05-01 17:41:00,20250501,2025-05-07 15:16:22,3,9.0,1,4,2,1,Student,Complaint,Study spaces,P4,Resolved,8.39,1.77,6.39,85.83,0,1,1,0,0,0,0.71,0.94,76.28,Service issue reported for study spaces at the selected campus.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005591,2025-10-08 12:00:00,20251008,2025-10-09 19:23:28,2,7.0,1,6,5,1,Academic Staff,Service Request,Wi-Fi and network,P3,Resolved,7.31,4.58,2.19,15.54,0,0,1,0,1,0,1.07,1.55,96.1,Unable to complete a university task because of wi-fi and network.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005592,2026-05-02 14:28:00,20260502,2026-05-04 10:38:02,1,3.0,1,2,3,2,Student,Enquiry,Fees and payments,P4,Resolved,10.31,4.08,5.14,23.82,0,0,1,0,0,0,0.82,1.19,73.78,Request for help with fees and payments and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005593,2025-07-01 17:12:00,20250701,2025-07-04 13:39:42,1,2.0,1,1,2,3,Student,Service Request,Timetable and class allocation,P4,Resolved,3.34,1.01,11.15,42.43,0,0,2,0,1,0,0.71,1.59,98.58,Request for help with timetable and class allocation and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005594,2026-07-10 12:10:00,20260710,2026-07-11 17:47:30,2,7.0,1,3,3,3,Student,Service Request,Wi-Fi and network,P2,Resolved,6.82,4.27,3.79,18.12,0,1,1,0,0,0,1.68,1.18,73.16,Unable to complete a university task because of wi-fi and network.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005595,2025-05-11 20:57:00,20250511,2025-05-12 22:32:14,2,5.0,2,1,2,4,Student,Enquiry,Account access and login,P4,Resolved,3.24,2.42,3.07,15.54,0,0,0,0,1,0,0.6,0.53,32.86,Unable to complete a university task because of account access and login.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005596,2025-10-08 12:34:00,20251008,2025-10-10 10:25:18,1,3.0,1,1,3,1,Student,Service Request,Fees and payments,P4,Resolved,10.15,6.42,6.16,27.96,0,0,1,0,0,0,0.6,1.05,65.1,Request for help with fees and payments and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005597,2026-04-25 13:21:00,20260425,2026-04-26 12:45:52,1,4.0,1,1,4,1,Student,Complaint,Academic progression,P3,Resolved,1.39,0.89,3.18,14.15,0,0,0,0,0,1,1.04,1.19,73.78,Request for help with academic progression and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005598,2025-07-14 10:16:00,20250714,2025-07-16 08:27:17,1,2.0,2,4,3,4,Student,Complaint,Timetable and class allocation,P3,Resolved,5.95,1.41,7.46,28.69,0,0,1,0,1,0,1.03,1.1,68.2,Request for help with timetable and class allocation and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005599,2025-08-08 11:20:00,20250808,2025-08-09 02:52:07,3,10.0,2,4,3,3,Student,Service Request,Accessibility,P3,Resolved,4.84,3.0,1.48,9.71,0,0,1,0,0,0,0.89,1.23,94.26,Service issue reported for accessibility at the selected campus.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005600,2024-11-14 17:08:00,20241114,2024-11-17 10:09:36,1,2.0,2,3,2,3,Student,Enquiry,Timetable and class allocation,P2,Resolved,5.97,3.34,6.69,35.58,0,1,1,0,0,0,1.41,1.52,94.24,Request for help with timetable and class allocation and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005601,2026-03-02 10:22:00,20260302,2026-03-04 19:20:57,1,3.0,1,1,3,1,Student,Complaint,Fees and payments,P3,Withdrawn,6.26,2.46,4.55,,0,0,1,0,0,0,1.11,1.22,75.64,Request for help with fees and payments and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005602,2025-11-10 13:33:00,20251110,2025-11-12 04:29:53,2,5.0,1,1,2,1,Student,Service Request,Account access and login,P3,Resolved,1.93,0.84,2.39,19.77,0,0,1,0,0,0,0.91,1.48,91.76,Unable to complete a university task because of account access and login.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005603,2025-05-19 08:40:00,20250519,2025-05-20 13:06:28,2,5.0,3,7,5,2,Professional Staff,Service Request,Account access and login,P1,Resolved,9.59,4.51,3.33,15.35,1,1,1,0,1,0,2.43,1.56,96.72,Unable to complete a university task because of account access and login.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-005604,2025-03-05 09:44:00,20250305,2025-03-07 22:01:44,3,9.0,2,4,3,1,Student,Service Request,Study spaces,P3,Resolved,1.49,0.68,5.58,38.66,0,0,1,0,0,0,1.07,1.63,119.06,Service issue reported for study spaces at the selected campus.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
