interaction_id,case_id,interaction_datetime,channel_key,direction,requester_initiated,interaction_sequence,handle_minutes,synthetic_label
INT-0008778,CASE-004516,2024-10-06 11:47:00,1,Inbound,1,1,18,Synthetic demonstration data — not actual University of Sydney results
INT-0008779,CASE-004516,2024-10-07 01:49:50,2,Inbound,1,2,19,Synthetic demonstration data — not actual University of Sydney results
INT-0008780,CASE-004517,2026-06-11 11:06:00,2,Inbound,1,1,8,Synthetic demonstration data — not actual University of Sydney results
INT-0008781,CASE-004517,2026-06-11 16:58:01,1,Inbound,1,2,15,Synthetic demonstration data — not actual University of Sydney results
INT-0008782,CASE-004517,2026-06-12 02:11:47,1,Outbound,0,3,17,Synthetic demonstration data — not actual University of Sydney results
INT-0008783,CASE-004517,2026-06-12 08:24:51,2,Outbound,0,4,17,Synthetic demonstration data — not actual University of Sydney results
INT-0008784,CASE-004518,2026-07-06 13:52:00,2,Inbound,1,1,20,Synthetic demonstration data — not actual University of Sydney results
INT-0008785,CASE-004518,2026-07-07 03:11:10,3,Inbound,1,2,18,Synthetic demonstration data — not actual University of Sydney results
INT-0008786,CASE-004519,2026-05-13 12:29:00,1,Inbound,1,1,17,Synthetic demonstration data — not actual University of Sydney results
INT-0008787,CASE-004520,2025-08-24 18:09:00,1,Inbound,1,1,15,Synthetic demonstration data — not actual University of Sydney results
INT-0008788,CASE-004520,2025-08-25 21:36:06,3,Inbound,1,2,19,Synthetic demonstration data — not actual University of Sydney results
INT-0008789,CASE-004521,2026-03-19 14:36:00,1,Inbound,1,1,26,Synthetic demonstration data — not actual University of Sydney results
INT-0008790,CASE-004521,2026-03-20 01:02:48,3,Outbound,0,2,18,Synthetic demonstration data — not actual University of Sydney results
INT-0008791,CASE-004521,2026-03-21 14:22:03,2,Inbound,1,3,23,Synthetic demonstration data — not actual University of Sydney results
INT-0008792,CASE-004522,2026-06-25 15:08:00,2,Inbound,1,1,21,Synthetic demonstration data — not actual University of Sydney results
INT-0008793,CASE-004523,2026-06-26 18:03:00,4,Inbound,1,1,16,Synthetic demonstration data — not actual University of Sydney results
INT-0008794,CASE-004523,2026-06-27 03:05:05,1,Outbound,0,2,20,Synthetic demonstration data — not actual University of Sydney results
INT-0008795,CASE-004524,2026-07-20 17:22:00,2,Inbound,1,1,15,Synthetic demonstration data — not actual University of Sydney results
INT-0008796,CASE-004524,2026-07-23 04:24:14,1,Outbound,0,2,18,Synthetic demonstration data — not actual University of Sydney results
INT-0008797,CASE-004525,2024-12-24 13:04:00,3,Inbound,1,1,15,Synthetic demonstration data — not actual University of Sydney results
INT-0008798,CASE-004525,2024-12-25 07:40:39,1,Inbound,1,2,26,Synthetic demonstration data — not actual University of Sydney results
INT-0008799,CASE-004526,2026-02-15 15:58:00,4,Inbound,1,1,11,Synthetic demonstration data — not actual University of Sydney results
INT-0008800,CASE-004527,2025-11-28 10:56:00,1,Inbound,1,1,24,Synthetic demonstration data — not actual University of Sydney results
INT-0008801,CASE-004528,2026-02-18 11:32:00,3,Inbound,1,1,19,Synthetic demonstration data — not actual University of Sydney results
INT-0008802,CASE-004529,2024-09-08 15:10:00,1,Inbound,1,1,23,Synthetic demonstration data — not actual University of Sydney results
INT-0008803,CASE-004529,2024-09-09 08:52:44,4,Outbound,0,2,25,Synthetic demonstration data — not actual University of Sydney results
INT-0008804,CASE-004530,2025-02-03 17:01:00,1,Inbound,1,1,25,Synthetic demonstration data — not actual University of Sydney results
INT-0008805,CASE-004530,2025-02-04 18:11:04,2,Outbound,0,2,18,Synthetic demonstration data — not actual University of Sydney results
INT-0008806,CASE-004531,2026-07-17 17:49:00,4,Inbound,1,1,21,Synthetic demonstration data — not actual University of Sydney results
INT-0008807,CASE-004532,2024-11-27 14:20:00,3,Inbound,1,1,23,Synthetic demonstration data — not actual University of Sydney results
INT-0008808,CASE-004532,2024-12-01 04:04:39,1,Outbound,0,2,13,Synthetic demonstration data — not actual University of Sydney results
INT-0008809,CASE-004532,2024-12-01 18:11:45,2,Outbound,0,3,17,Synthetic demonstration data — not actual University of Sydney results
INT-0008810,CASE-004532,2024-12-01 18:57:21,1,Inbound,1,4,17,Synthetic demonstration data — not actual University of Sydney results
INT-0008811,CASE-004533,2026-03-05 08:49:00,1,Inbound,1,1,28,Synthetic demonstration data — not actual University of Sydney results
INT-0008812,CASE-004533,2026-03-07 06:40:04,1,Inbound,1,2,6,Synthetic demonstration data — not actual University of Sydney results
INT-0008813,CASE-004534,2025-10-09 14:13:00,4,Inbound,1,1,18,Synthetic demonstration data — not actual University of Sydney results
INT-0008814,CASE-004535,2025-03-15 18:41:00,4,Inbound,1,1,13,Synthetic demonstration data — not actual University of Sydney results
INT-0008815,CASE-004536,2026-02-10 09:16:00,4,Inbound,1,1,18,Synthetic demonstration data — not actual University of Sydney results
INT-0008816,CASE-004536,2026-02-12 07:00:07,1,Inbound,1,2,21,Synthetic demonstration data — not actual University of Sydney results
INT-0008817,CASE-004537,2026-04-04 18:40:00,1,Inbound,1,1,15,Synthetic demonstration data — not actual University of Sydney results
INT-0008818,CASE-004538,2026-02-10 14:21:00,2,Inbound,1,1,22,Synthetic demonstration data — not actual University of Sydney results
INT-0008819,CASE-004538,2026-02-12 01:36:25,3,Outbound,0,2,30,Synthetic demonstration data — not actual University of Sydney results
INT-0008820,CASE-004539,2026-07-29 11:18:00,3,Inbound,1,1,17,Synthetic demonstration data — not actual University of Sydney results
INT-0008821,CASE-004539,2026-08-06 09:27:50,1,Outbound,0,2,26,Synthetic demonstration data — not actual University of Sydney results
INT-0008822,CASE-004540,2025-02-12 17:34:00,4,Inbound,1,1,22,Synthetic demonstration data — not actual University of Sydney results
INT-0008823,CASE-004540,2025-02-13 13:23:44,1,Inbound,1,2,15,Synthetic demonstration data — not actual University of Sydney results
INT-0008824,CASE-004540,2025-02-14 07:43:20,4,Outbound,0,3,17,Synthetic demonstration data — not actual University of Sydney results
INT-0008825,CASE-004541,2025-01-04 13:46:00,1,Inbound,1,1,17,Synthetic demonstration data — not actual University of Sydney results
INT-0008826,CASE-004542,2025-10-25 09:09:00,2,Inbound,1,1,28,Synthetic demonstration data — not actual University of Sydney results
INT-0008827,CASE-004543,2025-11-27 09:33:00,2,Inbound,1,1,13,Synthetic demonstration data — not actual University of Sydney results
INT-0008828,CASE-004544,2026-08-10 15:35:00,1,Inbound,1,1,13,Synthetic demonstration data — not actual University of Sydney results
INT-0008829,CASE-004544,2026-08-11 00:59:33,1,Inbound,1,2,26,Synthetic demonstration data — not actual University of Sydney results
INT-0008830,CASE-004544,2026-08-11 09:30:08,1,Inbound,1,3,27,Synthetic demonstration data — not actual University of Sydney results
INT-0008831,CASE-004545,2026-07-02 15:15:00,1,Inbound,1,1,28,Synthetic demonstration data — not actual University of Sydney results
INT-0008832,CASE-004545,2026-07-02 20:25:24,1,Outbound,0,2,22,Synthetic demonstration data — not actual University of Sydney results
INT-0008833,CASE-004546,2026-03-05 13:39:00,1,Inbound,1,1,14,Synthetic demonstration data — not actual University of Sydney results
INT-0008834,CASE-004546,2026-03-08 19:29:19,2,Outbound,0,2,18,Synthetic demonstration data — not actual University of Sydney results
INT-0008835,CASE-004546,2026-03-10 10:08:21,2,Inbound,1,3,18,Synthetic demonstration data — not actual University of Sydney results
INT-0008836,CASE-004546,2026-03-11 02:06:19,3,Inbound,1,4,23,Synthetic demonstration data — not actual University of Sydney results
INT-0008837,CASE-004547,2026-08-12 15:59:00,3,Inbound,1,1,26,Synthetic demonstration data — not actual University of Sydney results
INT-0008838,CASE-004547,2026-08-12 21:43:14,2,Inbound,1,2,23,Synthetic demonstration data — not actual University of Sydney results
INT-0008839,CASE-004548,2025-08-21 20:42:00,4,Inbound,1,1,14,Synthetic demonstration data — not actual University of Sydney results
INT-0008840,CASE-004549,2026-02-24 11:33:00,3,Inbound,1,1,19,Synthetic demonstration data — not actual University of Sydney results
INT-0008841,CASE-004549,2026-02-25 02:53:57,2,Inbound,1,2,27,Synthetic demonstration data — not actual University of Sydney results
INT-0008842,CASE-004550,2025-10-28 11:47:00,4,Inbound,1,1,10,Synthetic demonstration data — not actual University of Sydney results
INT-0008843,CASE-004551,2024-12-31 10:34:00,1,Inbound,1,1,18,Synthetic demonstration data — not actual University of Sydney results
INT-0008844,CASE-004552,2026-05-25 15:40:00,2,Inbound,1,1,27,Synthetic demonstration data — not actual University of Sydney results
INT-0008845,CASE-004552,2026-05-26 12:15:36,2,Outbound,0,2,8,Synthetic demonstration data — not actual University of Sydney results
INT-0008846,CASE-004553,2025-11-28 16:46:00,1,Inbound,1,1,22,Synthetic demonstration data — not actual University of Sydney results
INT-0008847,CASE-004553,2025-11-29 15:24:02,2,Outbound,0,2,21,Synthetic demonstration data — not actual University of Sydney results
INT-0008848,CASE-004554,2025-07-03 14:15:00,1,Inbound,1,1,26,Synthetic demonstration data — not actual University of Sydney results
INT-0008849,CASE-004554,2025-07-05 06:23:51,3,Inbound,1,2,30,Synthetic demonstration data — not actual University of Sydney results
INT-0008850,CASE-004554,2025-07-07 09:29:28,3,Outbound,0,3,30,Synthetic demonstration data — not actual University of Sydney results
INT-0008851,CASE-004555,2025-06-23 10:29:00,3,Inbound,1,1,7,Synthetic demonstration data — not actual University of Sydney results
INT-0008852,CASE-004555,2025-06-24 21:21:34,2,Inbound,1,2,26,Synthetic demonstration data — not actual University of Sydney results
INT-0008853,CASE-004555,2025-06-25 21:18:00,3,Inbound,1,3,15,Synthetic demonstration data — not actual University of Sydney results
INT-0008854,CASE-004556,2026-06-23 10:06:00,2,Inbound,1,1,25,Synthetic demonstration data — not actual University of Sydney results
INT-0008855,CASE-004556,2026-06-25 06:35:35,3,Inbound,1,2,11,Synthetic demonstration data — not actual University of Sydney results
INT-0008856,CASE-004556,2026-06-25 22:55:59,1,Outbound,0,3,27,Synthetic demonstration data — not actual University of Sydney results
INT-0008857,CASE-004557,2026-08-12 11:45:00,1,Inbound,1,1,20,Synthetic demonstration data — not actual University of Sydney results
INT-0008858,CASE-004557,2026-08-13 19:48:08,1,Inbound,1,2,20,Synthetic demonstration data — not actual University of Sydney results
INT-0008859,CASE-004557,2026-08-14 00:26:48,3,Inbound,1,3,22,Synthetic demonstration data — not actual University of Sydney results
INT-0008860,CASE-004558,2025-02-19 14:52:00,1,Inbound,1,1,13,Synthetic demonstration data — not actual University of Sydney results
INT-0008861,CASE-004558,2025-02-21 22:27:26,4,Outbound,0,2,17,Synthetic demonstration data — not actual University of Sydney results
INT-0008862,CASE-004559,2024-10-14 10:29:00,5,Inbound,1,1,28,Synthetic demonstration data — not actual University of Sydney results
INT-0008863,CASE-004559,2024-10-16 06:48:59,3,Inbound,1,2,32,Synthetic demonstration data — not actual University of Sydney results
INT-0008864,CASE-004560,2025-04-24 10:32:00,1,Inbound,1,1,19,Synthetic demonstration data — not actual University of Sydney results
INT-0008865,CASE-004560,2025-04-25 13:16:51,4,Outbound,0,2,12,Synthetic demonstration data — not actual University of Sydney results
INT-0008866,CASE-004561,2024-12-18 17:14:00,1,Inbound,1,1,14,Synthetic demonstration data — not actual University of Sydney results
INT-0008867,CASE-004561,2024-12-19 07:26:56,3,Outbound,0,2,15,Synthetic demonstration data — not actual University of Sydney results
INT-0008868,CASE-004561,2024-12-19 16:17:53,1,Outbound,0,3,20,Synthetic demonstration data — not actual University of Sydney results
INT-0008869,CASE-004562,2026-07-07 13:41:00,2,Inbound,1,1,15,Synthetic demonstration data — not actual University of Sydney results
INT-0008870,CASE-004562,2026-07-08 11:58:56,4,Outbound,0,2,27,Synthetic demonstration data — not actual University of Sydney results
INT-0008871,CASE-004563,2025-04-19 09:14:00,1,Inbound,1,1,27,Synthetic demonstration data — not actual University of Sydney results
INT-0008872,CASE-004564,2026-04-23 15:32:00,1,Inbound,1,1,17,Synthetic demonstration data — not actual University of Sydney results
INT-0008873,CASE-004564,2026-04-28 11:52:22,1,Outbound,0,2,23,Synthetic demonstration data — not actual University of Sydney results
INT-0008874,CASE-004565,2025-01-29 13:43:00,1,Inbound,1,1,10,Synthetic demonstration data — not actual University of Sydney results
INT-0008875,CASE-004565,2025-01-30 07:03:31,1,Outbound,0,2,22,Synthetic demonstration data — not actual University of Sydney results
INT-0008876,CASE-004565,2025-01-30 13:30:57,1,Outbound,0,3,20,Synthetic demonstration data — not actual University of Sydney results
INT-0008877,CASE-004566,2026-01-12 11:14:00,1,Inbound,1,1,19,Synthetic demonstration data — not actual University of Sydney results
INT-0008878,CASE-004566,2026-01-12 17:57:24,3,Outbound,0,2,20,Synthetic demonstration data — not actual University of Sydney results
INT-0008879,CASE-004567,2026-04-01 12:14:00,2,Inbound,1,1,18,Synthetic demonstration data — not actual University of Sydney results
INT-0008880,CASE-004567,2026-04-01 23:19:11,3,Outbound,0,2,20,Synthetic demonstration data — not actual University of Sydney results
INT-0008881,CASE-004568,2025-06-23 10:55:00,1,Inbound,1,1,18,Synthetic demonstration data — not actual University of Sydney results
INT-0008882,CASE-004568,2025-06-24 07:37:22,1,Inbound,1,2,18,Synthetic demonstration data — not actual University of Sydney results
INT-0008883,CASE-004569,2025-01-08 20:29:00,2,Inbound,1,1,20,Synthetic demonstration data — not actual University of Sydney results
INT-0008884,CASE-004570,2024-09-22 12:06:00,1,Inbound,1,1,15,Synthetic demonstration data — not actual University of Sydney results
INT-0008885,CASE-004570,2024-09-27 22:14:21,2,Outbound,0,2,18,Synthetic demonstration data — not actual University of Sydney results
INT-0008886,CASE-004571,2025-01-10 12:43:00,1,Inbound,1,1,19,Synthetic demonstration data — not actual University of Sydney results
INT-0008887,CASE-004572,2025-01-23 20:10:00,1,Inbound,1,1,22,Synthetic demonstration data — not actual University of Sydney results
INT-0008888,CASE-004572,2025-01-26 08:58:31,4,Outbound,0,2,26,Synthetic demonstration data — not actual University of Sydney results
INT-0008889,CASE-004573,2026-06-15 11:06:00,3,Inbound,1,1,17,Synthetic demonstration data — not actual University of Sydney results
INT-0008890,CASE-004574,2026-07-06 20:17:00,1,Inbound,1,1,22,Synthetic demonstration data — not actual University of Sydney results
INT-0008891,CASE-004574,2026-07-07 09:41:12,3,Inbound,1,2,18,Synthetic demonstration data — not actual University of Sydney results
INT-0008892,CASE-004575,2026-02-18 11:22:00,4,Inbound,1,1,24,Synthetic demonstration data — not actual University of Sydney results
INT-0008893,CASE-004575,2026-02-18 21:21:16,3,Outbound,0,2,19,Synthetic demonstration data — not actual University of Sydney results
INT-0008894,CASE-004576,2025-02-01 16:31:00,1,Inbound,1,1,24,Synthetic demonstration data — not actual University of Sydney results
INT-0008895,CASE-004577,2024-10-07 17:16:00,5,Inbound,1,1,18,Synthetic demonstration data — not actual University of Sydney results
INT-0008896,CASE-004577,2024-10-09 07:42:13,4,Inbound,1,2,25,Synthetic demonstration data — not actual University of Sydney results
INT-0008897,CASE-004578,2026-02-16 16:46:00,2,Inbound,1,1,24,Synthetic demonstration data — not actual University of Sydney results
INT-0008898,CASE-004578,2026-02-18 19:01:44,2,Outbound,0,2,17,Synthetic demonstration data — not actual University of Sydney results
INT-0008899,CASE-004579,2024-12-14 15:06:00,1,Inbound,1,1,14,Synthetic demonstration data — not actual University of Sydney results
INT-0008900,CASE-004580,2025-08-30 16:43:00,1,Inbound,1,1,21,Synthetic demonstration data — not actual University of Sydney results
INT-0008901,CASE-004581,2026-04-27 14:38:00,1,Inbound,1,1,22,Synthetic demonstration data — not actual University of Sydney results
INT-0008902,CASE-004581,2026-04-27 21:12:49,2,Outbound,0,2,25,Synthetic demonstration data — not actual University of Sydney results
INT-0008903,CASE-004582,2025-07-19 17:32:00,1,Inbound,1,1,19,Synthetic demonstration data — not actual University of Sydney results
INT-0008904,CASE-004582,2025-07-21 12:14:51,1,Outbound,0,2,24,Synthetic demonstration data — not actual University of Sydney results
INT-0008905,CASE-004583,2025-12-01 09:10:00,1,Inbound,1,1,13,Synthetic demonstration data — not actual University of Sydney results
INT-0008906,CASE-004584,2025-04-01 13:22:00,1,Inbound,1,1,17,Synthetic demonstration data — not actual University of Sydney results
INT-0008907,CASE-004584,2025-04-02 22:29:58,2,Outbound,0,2,19,Synthetic demonstration data — not actual University of Sydney results
INT-0008908,CASE-004585,2026-07-08 17:49:00,4,Inbound,1,1,17,Synthetic demonstration data — not actual University of Sydney results
INT-0008909,CASE-004585,2026-07-09 13:16:43,1,Inbound,1,2,25,Synthetic demonstration data — not actual University of Sydney results
INT-0008910,CASE-004585,2026-07-10 12:20:09,1,Outbound,0,3,21,Synthetic demonstration data — not actual University of Sydney results
INT-0008911,CASE-004586,2026-01-28 14:32:00,2,Inbound,1,1,19,Synthetic demonstration data — not actual University of Sydney results
INT-0008912,CASE-004587,2026-02-12 18:47:00,1,Inbound,1,1,17,Synthetic demonstration data — not actual University of Sydney results
INT-0008913,CASE-004587,2026-02-13 08:31:41,1,Outbound,0,2,27,Synthetic demonstration data — not actual University of Sydney results
INT-0008914,CASE-004588,2025-03-05 12:41:00,4,Inbound,1,1,7,Synthetic demonstration data — not actual University of Sydney results
INT-0008915,CASE-004589,2025-03-14 11:59:00,1,Inbound,1,1,19,Synthetic demonstration data — not actual University of Sydney results
INT-0008916,CASE-004589,2025-03-15 07:53:34,2,Outbound,0,2,16,Synthetic demonstration data — not actual University of Sydney results
INT-0008917,CASE-004589,2025-03-17 11:53:36,3,Inbound,1,3,20,Synthetic demonstration data — not actual University of Sydney results
INT-0008918,CASE-004590,2026-03-17 15:24:00,4,Inbound,1,1,24,Synthetic demonstration data — not actual University of Sydney results
INT-0008919,CASE-004591,2026-05-15 12:51:00,3,Inbound,1,1,23,Synthetic demonstration data — not actual University of Sydney results
INT-0008920,CASE-004591,2026-05-16 10:49:34,2,Inbound,1,2,18,Synthetic demonstration data — not actual University of Sydney results
INT-0008921,CASE-004591,2026-05-16 10:58:13,1,Outbound,0,3,18,Synthetic demonstration data — not actual University of Sydney results
INT-0008922,CASE-004592,2024-10-03 08:02:00,1,Inbound,1,1,23,Synthetic demonstration data — not actual University of Sydney results
INT-0008923,CASE-004592,2024-10-04 09:18:13,2,Inbound,1,2,11,Synthetic demonstration data — not actual University of Sydney results
INT-0008924,CASE-004593,2025-05-05 14:27:00,1,Inbound,1,1,22,Synthetic demonstration data — not actual University of Sydney results
INT-0008925,CASE-004593,2025-05-06 22:08:51,1,Outbound,0,2,28,Synthetic demonstration data — not actual University of Sydney results
INT-0008926,CASE-004593,2025-05-07 02:00:34,3,Inbound,1,3,12,Synthetic demonstration data — not actual University of Sydney results
INT-0008927,CASE-004594,2026-06-22 15:12:00,1,Inbound,1,1,21,Synthetic demonstration data — not actual University of Sydney results
INT-0008928,CASE-004594,2026-06-22 20:16:34,3,Outbound,0,2,18,Synthetic demonstration data — not actual University of Sydney results
INT-0008929,CASE-004594,2026-06-23 18:21:52,3,Inbound,1,3,21,Synthetic demonstration data — not actual University of Sydney results
INT-0008930,CASE-004594,2026-06-23 18:29:46,2,Outbound,0,4,12,Synthetic demonstration data — not actual University of Sydney results
INT-0008931,CASE-004595,2026-03-21 18:57:00,2,Inbound,1,1,23,Synthetic demonstration data — not actual University of Sydney results
INT-0008932,CASE-004595,2026-03-23 07:10:11,2,Inbound,1,2,16,Synthetic demonstration data — not actual University of Sydney results
INT-0008933,CASE-004596,2025-07-15 08:14:00,4,Inbound,1,1,12,Synthetic demonstration data — not actual University of Sydney results
INT-0008934,CASE-004596,2025-07-16 11:51:15,4,Outbound,0,2,14,Synthetic demonstration data — not actual University of Sydney results
INT-0008935,CASE-004597,2026-07-16 11:34:00,2,Inbound,1,1,20,Synthetic demonstration data — not actual University of Sydney results
INT-0008936,CASE-004598,2025-04-24 16:26:00,1,Inbound,1,1,14,Synthetic demonstration data — not actual University of Sydney results
INT-0008937,CASE-004598,2025-04-24 23:34:02,4,Inbound,1,2,13,Synthetic demonstration data — not actual University of Sydney results
INT-0008938,CASE-004599,2025-12-16 12:21:00,1,Inbound,1,1,14,Synthetic demonstration data — not actual University of Sydney results
INT-0008939,CASE-004600,2026-06-12 15:43:00,4,Inbound,1,1,21,Synthetic demonstration data — not actual University of Sydney results
INT-0008940,CASE-004600,2026-06-13 12:30:08,1,Outbound,0,2,14,Synthetic demonstration data — not actual University of Sydney results
INT-0008941,CASE-004600,2026-06-13 19:40:53,2,Outbound,0,3,25,Synthetic demonstration data — not actual University of Sydney results
INT-0008942,CASE-004600,2026-06-13 20:57:21,2,Outbound,0,4,20,Synthetic demonstration data — not actual University of Sydney results
INT-0008943,CASE-004601,2025-09-30 15:07:00,2,Inbound,1,1,28,Synthetic demonstration data — not actual University of Sydney results
INT-0008944,CASE-004601,2025-10-01 21:12:36,3,Outbound,0,2,18,Synthetic demonstration data — not actual University of Sydney results
INT-0008945,CASE-004602,2026-02-28 14:45:00,1,Inbound,1,1,17,Synthetic demonstration data — not actual University of Sydney results
INT-0008946,CASE-004602,2026-03-01 01:46:14,1,Outbound,0,2,16,Synthetic demonstration data — not actual University of Sydney results
INT-0008947,CASE-004603,2026-04-24 17:56:00,2,Inbound,1,1,22,Synthetic demonstration data — not actual University of Sydney results
INT-0008948,CASE-004603,2026-04-27 00:02:47,2,Outbound,0,2,21,Synthetic demonstration data — not actual University of Sydney results
INT-0008949,CASE-004604,2026-05-14 17:00:00,1,Inbound,1,1,20,Synthetic demonstration data — not actual University of Sydney results
INT-0008950,CASE-004604,2026-05-16 11:37:04,2,Outbound,0,2,15,Synthetic demonstration data — not actual University of Sydney results
INT-0008951,CASE-004605,2024-10-22 20:18:00,2,Inbound,1,1,23,Synthetic demonstration data — not actual University of Sydney results
INT-0008952,CASE-004605,2024-10-23 16:09:57,1,Outbound,0,2,17,Synthetic demonstration data — not actual University of Sydney results
INT-0008953,CASE-004605,2024-10-24 13:29:28,2,Outbound,0,3,20,Synthetic demonstration data — not actual University of Sydney results
INT-0008954,CASE-004606,2026-02-25 12:21:00,2,Inbound,1,1,20,Synthetic demonstration data — not actual University of Sydney results
INT-0008955,CASE-004606,2026-02-28 13:32:56,1,Inbound,1,2,26,Synthetic demonstration data — not actual University of Sydney results
INT-0008956,CASE-004606,2026-03-02 00:37:38,4,Inbound,1,3,20,Synthetic demonstration data — not actual University of Sydney results
INT-0008957,CASE-004607,2025-07-14 15:15:00,1,Inbound,1,1,30,Synthetic demonstration data — not actual University of Sydney results
INT-0008958,CASE-004607,2025-07-16 01:41:38,1,Inbound,1,2,23,Synthetic demonstration data — not actual University of Sydney results
INT-0008959,CASE-004608,2026-04-27 13:48:00,4,Inbound,1,1,20,Synthetic demonstration data — not actual University of Sydney results
INT-0008960,CASE-004608,2026-04-28 11:05:00,3,Outbound,0,2,27,Synthetic demonstration data — not actual University of Sydney results
INT-0008961,CASE-004609,2025-04-15 19:13:00,4,Inbound,1,1,19,Synthetic demonstration data — not actual University of Sydney results
INT-0008962,CASE-004610,2024-12-05 13:36:00,1,Inbound,1,1,23,Synthetic demonstration data — not actual University of Sydney results
INT-0008963,CASE-004611,2025-02-27 16:33:00,4,Inbound,1,1,21,Synthetic demonstration data — not actual University of Sydney results
INT-0008964,CASE-004611,2025-02-27 21:51:33,1,Outbound,0,2,19,Synthetic demonstration data — not actual University of Sydney results
INT-0008965,CASE-004612,2025-03-27 17:43:00,2,Inbound,1,1,15,Synthetic demonstration data — not actual University of Sydney results
INT-0008966,CASE-004613,2024-10-30 13:28:00,1,Inbound,1,1,23,Synthetic demonstration data — not actual University of Sydney results
INT-0008967,CASE-004613,2024-11-01 09:33:37,2,Outbound,0,2,18,Synthetic demonstration data — not actual University of Sydney results
INT-0008968,CASE-004614,2026-03-26 13:25:00,2,Inbound,1,1,29,Synthetic demonstration data — not actual University of Sydney results
INT-0008969,CASE-004614,2026-03-30 16:49:44,1,Outbound,0,2,34,Synthetic demonstration data — not actual University of Sydney results
INT-0008970,CASE-004615,2024-10-09 13:43:00,1,Inbound,1,1,7,Synthetic demonstration data — not actual University of Sydney results
INT-0008971,CASE-004616,2026-03-28 17:33:00,2,Inbound,1,1,28,Synthetic demonstration data — not actual University of Sydney results
INT-0008972,CASE-004616,2026-03-29 06:23:19,3,Outbound,0,2,22,Synthetic demonstration data — not actual University of Sydney results
INT-0008973,CASE-004617,2025-09-24 09:43:00,1,Inbound,1,1,23,Synthetic demonstration data — not actual University of Sydney results
INT-0008974,CASE-004618,2025-12-22 14:28:00,1,Inbound,1,1,19,Synthetic demonstration data — not actual University of Sydney results
INT-0008975,CASE-004618,2025-12-23 00:11:11,4,Outbound,0,2,16,Synthetic demonstration data — not actual University of Sydney results
INT-0008976,CASE-004618,2025-12-24 13:26:31,2,Outbound,0,3,17,Synthetic demonstration data — not actual University of Sydney results
INT-0008977,CASE-004619,2025-06-23 18:38:00,1,Inbound,1,1,19,Synthetic demonstration data — not actual University of Sydney results
INT-0008978,CASE-004620,2026-06-04 18:25:00,3,Inbound,1,1,29,Synthetic demonstration data — not actual University of Sydney results
INT-0008979,CASE-004620,2026-06-05 02:32:27,2,Outbound,0,2,23,Synthetic demonstration data — not actual University of Sydney results
INT-0008980,CASE-004620,2026-06-05 17:05:31,4,Outbound,0,3,11,Synthetic demonstration data — not actual University of Sydney results
INT-0008981,CASE-004621,2024-12-18 13:12:00,1,Inbound,1,1,20,Synthetic demonstration data — not actual University of Sydney results
INT-0008982,CASE-004621,2024-12-19 00:01:52,1,Inbound,1,2,19,Synthetic demonstration data — not actual University of Sydney results
INT-0008983,CASE-004621,2024-12-19 10:57:44,2,Outbound,0,3,23,Synthetic demonstration data — not actual University of Sydney results
INT-0008984,CASE-004622,2025-11-12 13:58:00,1,Inbound,1,1,22,Synthetic demonstration data — not actual University of Sydney results
INT-0008985,CASE-004622,2025-11-13 09:46:20,1,Outbound,0,2,17,Synthetic demonstration data — not actual University of Sydney results
INT-0008986,CASE-004623,2025-10-03 12:12:00,2,Inbound,1,1,25,Synthetic demonstration data — not actual University of Sydney results
INT-0008987,CASE-004624,2024-10-08 13:57:00,3,Inbound,1,1,26,Synthetic demonstration data — not actual University of Sydney results
INT-0008988,CASE-004624,2024-10-09 19:27:58,1,Inbound,1,2,26,Synthetic demonstration data — not actual University of Sydney results
INT-0008989,CASE-004625,2024-09-02 16:38:00,5,Inbound,1,1,5,Synthetic demonstration data — not actual University of Sydney results
INT-0008990,CASE-004625,2024-09-03 14:16:56,3,Inbound,1,2,27,Synthetic demonstration data — not actual University of Sydney results
INT-0008991,CASE-004626,2026-04-02 13:34:00,2,Inbound,1,1,14,Synthetic demonstration data — not actual University of Sydney results
INT-0008992,CASE-004626,2026-04-04 13:51:53,2,Inbound,1,2,19,Synthetic demonstration data — not actual University of Sydney results
INT-0008993,CASE-004627,2025-06-22 20:21:00,4,Inbound,1,1,20,Synthetic demonstration data — not actual University of Sydney results
INT-0008994,CASE-004627,2025-06-23 18:38:10,3,Outbound,0,2,12,Synthetic demonstration data — not actual University of Sydney results
INT-0008995,CASE-004628,2024-10-14 17:23:00,2,Inbound,1,1,10,Synthetic demonstration data — not actual University of Sydney results
INT-0008996,CASE-004628,2024-10-15 14:21:49,1,Outbound,0,2,18,Synthetic demonstration data — not actual University of Sydney results
INT-0008997,CASE-004629,2026-02-23 19:26:00,2,Inbound,1,1,19,Synthetic demonstration data — not actual University of Sydney results
INT-0008998,CASE-004630,2025-09-29 17:49:00,1,Inbound,1,1,24,Synthetic demonstration data — not actual University of Sydney results
INT-0008999,CASE-004631,2026-02-26 20:14:00,3,Inbound,1,1,10,Synthetic demonstration data — not actual University of Sydney results
INT-0009000,CASE-004631,2026-02-27 19:52:27,2,Inbound,1,2,23,Synthetic demonstration data — not actual University of Sydney results
INT-0009001,CASE-004632,2025-09-15 15:44:00,5,Inbound,1,1,23,Synthetic demonstration data — not actual University of Sydney results
