feedback_id,feedback_date,related_case_id,related_work_order_id,respondent_type,service_key,campus_key,cohort_key,feedback_type,csat_score,ces_score,feedback_theme,comment_text,response_valid,synthetic_label,feedback_date_key,csat_positive_flag
FDB-000633,2025-03-03 00:00:00,CASE-016119,,Professional Staff,2,1,7,Post-case survey,4,4,Ownership,Synthetic feedback concerning ownership for device and software.,1,Synthetic demonstration data — not actual University of Sydney results,20250303,1
FDB-000634,2025-07-13 00:00:00,CASE-013088,,Student,2,2,2,Post-case survey,5,4,Ownership,Synthetic feedback concerning ownership for learning platform.,1,Synthetic demonstration data — not actual University of Sydney results,20250713,1
FDB-000635,2025-01-09 00:00:00,CASE-009910,,Student,1,1,5,Post-case survey,3,4,Waiting time,Synthetic feedback concerning waiting time for timetable and class allocation.,1,Synthetic demonstration data — not actual University of Sydney results,20250109,0
FDB-000636,2025-03-16 00:00:00,CASE-015209,,Student,3,3,1,Post-case survey,4,4,Ownership,Synthetic feedback concerning ownership for hvac and temperature.,1,Synthetic demonstration data — not actual University of Sydney results,20250316,1
FDB-000637,2024-11-13 00:00:00,CASE-015179,,Student,2,3,2,Post-case survey,2,3,Clarity,Synthetic feedback concerning clarity for learning platform.,1,Synthetic demonstration data — not actual University of Sydney results,20241113,0
FDB-000638,2025-06-08 00:00:00,CASE-013570,,Student,1,3,1,Post-case survey,4,4,Waiting time,Synthetic feedback concerning waiting time for academic progression.,1,Synthetic demonstration data — not actual University of Sydney results,20250608,1
FDB-000639,2025-09-22 00:00:00,CASE-005242,,Student,2,1,2,Post-case survey,4,4,Outcome quality,Synthetic feedback concerning outcome quality for multi-factor authentication.,1,Synthetic demonstration data — not actual University of Sydney results,20250922,1
FDB-000640,2026-01-15 00:00:00,CASE-001045,,Student,1,2,1,Post-case survey,2,3,Waiting time,Synthetic feedback concerning waiting time for timetable and class allocation.,1,Synthetic demonstration data — not actual University of Sydney results,20260115,0
FDB-000641,2024-11-14 00:00:00,CASE-011728,,Student,2,1,5,Post-case survey,5,5,Waiting time,Synthetic feedback concerning waiting time for learning platform.,1,Synthetic demonstration data — not actual University of Sydney results,20241114,1
FDB-000642,2026-01-25 00:00:00,CASE-001570,,Professional Staff,2,1,7,Post-case survey,4,2,Clarity,Synthetic feedback concerning clarity for learning platform.,1,Synthetic demonstration data — not actual University of Sydney results,20260125,1
FDB-000643,2024-09-08 00:00:00,CASE-011913,,Academic Staff,2,2,6,Post-case survey,4,4,Ownership,Synthetic feedback concerning ownership for multi-factor authentication.,1,Synthetic demonstration data — not actual University of Sydney results,20240908,1
FDB-000644,2025-04-20 00:00:00,CASE-013421,,Student,2,1,3,Post-case survey,3,3,Communication,Synthetic feedback concerning communication for learning platform.,1,Synthetic demonstration data — not actual University of Sydney results,20250420,0
FDB-000645,2025-08-08 00:00:00,CASE-005566,,Student,1,1,1,Post-case survey,4,4,Waiting time,Synthetic feedback concerning waiting time for academic progression.,1,Synthetic demonstration data — not actual University of Sydney results,20250808,1
FDB-000646,2025-09-11 00:00:00,CASE-014306,,Student,2,1,3,Post-case survey,2,3,Outcome quality,Synthetic feedback concerning outcome quality for multi-factor authentication.,1,Synthetic demonstration data — not actual University of Sydney results,20250911,0
FDB-000647,2026-01-31 00:00:00,CASE-008589,,Student,1,1,5,Post-case survey,5,4,Ease of use,Synthetic feedback concerning ease of use for fees and payments.,1,Synthetic demonstration data — not actual University of Sydney results,20260131,1
FDB-000648,2025-04-11 00:00:00,CASE-003573,,Professional Staff,2,2,7,Post-case survey,4,4,Waiting time,Synthetic feedback concerning waiting time for learning platform.,1,Synthetic demonstration data — not actual University of Sydney results,20250411,1
FDB-000649,2025-09-10 00:00:00,CASE-006343,,Student,3,1,4,Post-case survey,3,2,Clarity,Synthetic feedback concerning clarity for accessibility.,1,Synthetic demonstration data — not actual University of Sydney results,20250910,0
FDB-000650,2025-05-29 00:00:00,CASE-012854,,Student,3,2,1,Post-case survey,3,5,Ownership,Synthetic feedback concerning ownership for study spaces.,1,Synthetic demonstration data — not actual University of Sydney results,20250529,0
FDB-000651,2024-11-04 00:00:00,CASE-000828,,Student,2,1,1,Post-case survey,3,4,Ownership,Synthetic feedback concerning ownership for device and software.,1,Synthetic demonstration data — not actual University of Sydney results,20241104,0
FDB-000652,2025-03-22 00:00:00,CASE-013394,,Student,2,1,2,Post-case survey,3,4,Waiting time,Synthetic feedback concerning waiting time for device and software.,1,Synthetic demonstration data — not actual University of Sydney results,20250322,0
FDB-000653,2026-07-30 00:00:00,CASE-006397,,Student,1,1,1,Post-case survey,3,4,Waiting time,Synthetic feedback concerning waiting time for documents and letters.,1,Synthetic demonstration data — not actual University of Sydney results,20260730,0
FDB-000654,2025-08-29 00:00:00,CASE-016330,,Professional Staff,2,3,7,Post-case survey,3,4,Waiting time,Synthetic feedback concerning waiting time for account access and login.,1,Synthetic demonstration data — not actual University of Sydney results,20250829,0
FDB-000655,2025-10-09 00:00:00,CASE-004407,,Student,2,1,1,Post-case survey,5,5,Outcome quality,Synthetic feedback concerning outcome quality for learning platform.,1,Synthetic demonstration data — not actual University of Sydney results,20251009,1
FDB-000656,2026-04-17 00:00:00,CASE-006002,,Student,1,1,1,Post-case survey,2,4,Communication,Synthetic feedback concerning communication for academic progression.,1,Synthetic demonstration data — not actual University of Sydney results,20260417,0
FDB-000657,2025-10-01 00:00:00,CASE-003743,,Student,2,1,1,Post-case survey,4,4,Waiting time,Synthetic feedback concerning waiting time for account access and login.,1,Synthetic demonstration data — not actual University of Sydney results,20251001,1
FDB-000658,2026-03-27 00:00:00,CASE-004931,,Student,3,3,1,Post-case survey,4,4,Communication,Synthetic feedback concerning communication for hvac and temperature.,1,Synthetic demonstration data — not actual University of Sydney results,20260327,1
FDB-000659,2025-06-19 00:00:00,CASE-016057,,Student,1,1,4,Post-case survey,4,3,Outcome quality,Synthetic feedback concerning outcome quality for fees and payments.,1,Synthetic demonstration data — not actual University of Sydney results,20250619,1
FDB-000660,2024-11-07 00:00:00,CASE-016548,,Student,3,1,3,Post-case survey,5,4,Ownership,Synthetic feedback concerning ownership for accessibility.,1,Synthetic demonstration data — not actual University of Sydney results,20241107,1
FDB-000661,2025-03-17 00:00:00,CASE-000794,,Student,2,1,4,Post-case survey,3,3,Waiting time,Synthetic feedback concerning waiting time for learning platform.,1,Synthetic demonstration data — not actual University of Sydney results,20250317,0
FDB-000662,2025-03-22 00:00:00,CASE-006357,,Student,2,3,2,Post-case survey,5,5,Waiting time,Synthetic feedback concerning waiting time for account access and login.,1,Synthetic demonstration data — not actual University of Sydney results,20250322,1
FDB-000663,2026-01-13 00:00:00,CASE-002684,,Professional Staff,3,3,7,Post-case survey,4,4,Waiting time,Synthetic feedback concerning waiting time for hvac and temperature.,1,Synthetic demonstration data — not actual University of Sydney results,20260113,1
FDB-000664,2026-07-09 00:00:00,CASE-002106,,Student,2,1,4,Post-case survey,4,2,Communication,Synthetic feedback concerning communication for learning platform.,1,Synthetic demonstration data — not actual University of Sydney results,20260709,1
FDB-000665,2026-03-07 00:00:00,CASE-001400,,Student,2,3,4,Post-case survey,4,4,Outcome quality,Synthetic feedback concerning outcome quality for multi-factor authentication.,1,Synthetic demonstration data — not actual University of Sydney results,20260307,1
FDB-000666,2025-01-25 00:00:00,CASE-006160,,Student,1,1,2,Post-case survey,2,5,Waiting time,Synthetic feedback concerning waiting time for timetable and class allocation.,1,Synthetic demonstration data — not actual University of Sydney results,20250125,0
FDB-000667,2025-06-12 00:00:00,CASE-003276,,Student,1,2,1,Post-case survey,4,4,Communication,Synthetic feedback concerning communication for documents and letters.,1,Synthetic demonstration data — not actual University of Sydney results,20250612,1
FDB-000668,2025-02-19 00:00:00,CASE-000618,,Student,2,1,3,Post-case survey,5,4,Clarity,Synthetic feedback concerning clarity for wi-fi and network.,1,Synthetic demonstration data — not actual University of Sydney results,20250219,1
FDB-000669,2025-04-12 00:00:00,CASE-011486,,Student,3,2,2,Post-case survey,4,3,Clarity,Synthetic feedback concerning clarity for teaching room equipment.,1,Synthetic demonstration data — not actual University of Sydney results,20250412,1
FDB-000670,2024-12-15 00:00:00,CASE-011718,,Student,1,1,4,Post-case survey,3,2,Communication,Synthetic feedback concerning communication for timetable and class allocation.,1,Synthetic demonstration data — not actual University of Sydney results,20241215,0
FDB-000671,2025-02-24 00:00:00,CASE-002550,,Student,1,1,2,Post-case survey,4,4,Waiting time,Synthetic feedback concerning waiting time for academic progression.,1,Synthetic demonstration data — not actual University of Sydney results,20250224,1
FDB-000672,2025-08-06 00:00:00,CASE-007596,,Student,3,1,2,Post-case survey,4,2,Waiting time,Synthetic feedback concerning waiting time for cleanliness.,1,Synthetic demonstration data — not actual University of Sydney results,20250806,1
FDB-000673,2026-04-28 00:00:00,CASE-013677,,Student,1,2,1,Post-case survey,4,3,Clarity,Synthetic feedback concerning clarity for fees and payments.,1,Synthetic demonstration data — not actual University of Sydney results,20260428,1
FDB-000674,2025-10-15 00:00:00,CASE-003016,,Student,3,1,2,Post-case survey,3,4,Outcome quality,Synthetic feedback concerning outcome quality for security and lighting.,1,Synthetic demonstration data — not actual University of Sydney results,20251015,0
FDB-000675,2025-07-27 00:00:00,CASE-005613,,Student,1,1,2,Post-case survey,4,3,Waiting time,Synthetic feedback concerning waiting time for fees and payments.,1,Synthetic demonstration data — not actual University of Sydney results,20250727,1
FDB-000676,2025-10-30 00:00:00,CASE-014362,,Student,1,2,4,Post-case survey,3,3,Waiting time,Synthetic feedback concerning waiting time for fees and payments.,1,Synthetic demonstration data — not actual University of Sydney results,20251030,0
FDB-000677,2025-05-03 00:00:00,CASE-015217,,Student,2,2,3,Post-case survey,4,1,Waiting time,Synthetic feedback concerning waiting time for account access and login.,1,Synthetic demonstration data — not actual University of Sydney results,20250503,1
FDB-000678,2026-07-31 00:00:00,CASE-001235,,Student,1,2,4,Post-case survey,3,4,Ease of use,Synthetic feedback concerning ease of use for enrolment changes.,1,Synthetic demonstration data — not actual University of Sydney results,20260731,0
FDB-000679,2026-08-11 00:00:00,CASE-011045,,Student,1,2,1,Post-case survey,5,3,Waiting time,Synthetic feedback concerning waiting time for academic progression.,1,Synthetic demonstration data — not actual University of Sydney results,20260811,1
FDB-000680,2025-07-17 00:00:00,CASE-005026,,Student,2,2,4,Post-case survey,3,3,Communication,Synthetic feedback concerning communication for learning platform.,1,Synthetic demonstration data — not actual University of Sydney results,20250717,0
FDB-000681,2026-07-16 00:00:00,CASE-003647,,Professional Staff,3,1,7,Post-case survey,3,2,Ease of use,Synthetic feedback concerning ease of use for accessibility.,1,Synthetic demonstration data — not actual University of Sydney results,20260716,0
FDB-000682,2026-03-26 00:00:00,CASE-003782,,Professional Staff,2,1,7,Post-case survey,4,5,Ease of use,Synthetic feedback concerning ease of use for wi-fi and network.,1,Synthetic demonstration data — not actual University of Sydney results,20260326,1
FDB-000683,2026-03-11 00:00:00,CASE-008079,,Student,2,1,1,Post-case survey,4,4,Ease of use,Synthetic feedback concerning ease of use for device and software.,1,Synthetic demonstration data — not actual University of Sydney results,20260311,1
FDB-000684,2026-02-21 00:00:00,CASE-016191,,Academic Staff,2,2,6,Post-case survey,5,4,Communication,Synthetic feedback concerning communication for account access and login.,1,Synthetic demonstration data — not actual University of Sydney results,20260221,1
FDB-000685,2024-12-03 00:00:00,CASE-008612,,Student,2,2,2,Post-case survey,4,2,Communication,Synthetic feedback concerning communication for account access and login.,1,Synthetic demonstration data — not actual University of Sydney results,20241203,1
FDB-000686,2025-12-28 00:00:00,CASE-014875,,Student,2,1,1,Post-case survey,3,4,Communication,Synthetic feedback concerning communication for learning platform.,1,Synthetic demonstration data — not actual University of Sydney results,20251228,0
FDB-000687,2025-06-06 00:00:00,CASE-017339,,Student,1,1,4,Post-case survey,4,2,Waiting time,Synthetic feedback concerning waiting time for fees and payments.,1,Synthetic demonstration data — not actual University of Sydney results,20250606,1
FDB-000688,2026-07-29 00:00:00,CASE-014663,,Professional Staff,3,1,7,Post-case survey,4,5,Ease of use,Synthetic feedback concerning ease of use for hvac and temperature.,1,Synthetic demonstration data — not actual University of Sydney results,20260729,1
FDB-000689,2025-09-24 00:00:00,CASE-007217,,Academic Staff,2,1,6,Post-case survey,4,4,Clarity,Synthetic feedback concerning clarity for learning platform.,1,Synthetic demonstration data — not actual University of Sydney results,20250924,1
FDB-000690,2026-03-28 00:00:00,CASE-012143,,Student,3,1,3,Post-case survey,4,3,Ownership,Synthetic feedback concerning ownership for hvac and temperature.,1,Synthetic demonstration data — not actual University of Sydney results,20260328,1
FDB-000691,2025-06-04 00:00:00,CASE-014178,,Student,2,2,2,Post-case survey,3,3,Ease of use,Synthetic feedback concerning ease of use for account access and login.,1,Synthetic demonstration data — not actual University of Sydney results,20250604,0
FDB-000692,2026-02-19 00:00:00,CASE-009651,,Student,2,1,1,Post-case survey,4,3,Waiting time,Synthetic feedback concerning waiting time for wi-fi and network.,1,Synthetic demonstration data — not actual University of Sydney results,20260219,1
FDB-000693,2025-08-23 00:00:00,CASE-012132,,Student,1,1,2,Post-case survey,4,4,Waiting time,Synthetic feedback concerning waiting time for enrolment changes.,1,Synthetic demonstration data — not actual University of Sydney results,20250823,1
FDB-000694,2026-07-22 00:00:00,CASE-000222,,Academic Staff,3,1,6,Post-case survey,3,3,Communication,Synthetic feedback concerning communication for study spaces.,1,Synthetic demonstration data — not actual University of Sydney results,20260722,0
FDB-000695,2025-08-10 00:00:00,CASE-009892,,Student,1,1,1,Post-case survey,3,3,Clarity,Synthetic feedback concerning clarity for timetable and class allocation.,1,Synthetic demonstration data — not actual University of Sydney results,20250810,0
FDB-000696,2025-09-03 00:00:00,CASE-008194,,Student,2,2,4,Post-case survey,4,4,Clarity,Synthetic feedback concerning clarity for learning platform.,1,Synthetic demonstration data — not actual University of Sydney results,20250903,1
FDB-000697,2024-12-01 00:00:00,CASE-009580,,Student,1,3,2,Post-case survey,4,5,Waiting time,Synthetic feedback concerning waiting time for academic progression.,1,Synthetic demonstration data — not actual University of Sydney results,20241201,1
FDB-000698,2025-06-04 00:00:00,CASE-016398,,Professional Staff,3,3,7,Post-case survey,4,5,Ease of use,Synthetic feedback concerning ease of use for study spaces.,1,Synthetic demonstration data — not actual University of Sydney results,20250604,1
FDB-000699,2025-09-16 00:00:00,CASE-000013,,Academic Staff,3,1,6,Post-case survey,4,3,Ownership,Synthetic feedback concerning ownership for accessibility.,1,Synthetic demonstration data — not actual University of Sydney results,20250916,1
FDB-000700,2024-11-10 00:00:00,CASE-014837,,Student,1,1,4,Post-case survey,1,2,Communication,Synthetic feedback concerning communication for timetable and class allocation.,1,Synthetic demonstration data — not actual University of Sydney results,20241110,0
FDB-000701,2026-04-22 00:00:00,CASE-017540,,Student,2,2,1,Post-case survey,4,3,Communication,Synthetic feedback concerning communication for wi-fi and network.,1,Synthetic demonstration data — not actual University of Sydney results,20260422,1
FDB-000702,2026-05-05 00:00:00,CASE-014634,,Student,1,1,1,Post-case survey,3,4,Waiting time,Synthetic feedback concerning waiting time for enrolment changes.,1,Synthetic demonstration data — not actual University of Sydney results,20260505,0
FDB-000703,2024-11-01 00:00:00,CASE-003157,,Professional Staff,3,1,7,Post-case survey,4,3,Clarity,Synthetic feedback concerning clarity for accessibility.,1,Synthetic demonstration data — not actual University of Sydney results,20241101,1
FDB-000704,2025-05-02 00:00:00,CASE-009345,,Student,3,1,1,Post-case survey,4,4,Clarity,Synthetic feedback concerning clarity for hvac and temperature.,1,Synthetic demonstration data — not actual University of Sydney results,20250502,1
FDB-000705,2025-07-14 00:00:00,CASE-013783,,Student,1,1,1,Post-case survey,4,3,Ease of use,Synthetic feedback concerning ease of use for timetable and class allocation.,1,Synthetic demonstration data — not actual University of Sydney results,20250714,1
FDB-000706,2024-11-28 00:00:00,CASE-005877,,Academic Staff,3,3,6,Post-case survey,3,4,Outcome quality,Synthetic feedback concerning outcome quality for security and lighting.,1,Synthetic demonstration data — not actual University of Sydney results,20241128,0
FDB-000707,2026-07-03 00:00:00,CASE-004545,,Student,3,1,3,Post-case survey,3,2,Outcome quality,Synthetic feedback concerning outcome quality for teaching room equipment.,1,Synthetic demonstration data — not actual University of Sydney results,20260703,0
FDB-000708,2025-02-07 00:00:00,CASE-010895,,Student,1,1,1,Post-case survey,3,4,Communication,Synthetic feedback concerning communication for academic progression.,1,Synthetic demonstration data — not actual University of Sydney results,20250207,0
FDB-000709,2025-03-22 00:00:00,CASE-004499,,Student,1,3,2,Post-case survey,3,3,Communication,Synthetic feedback concerning communication for timetable and class allocation.,1,Synthetic demonstration data — not actual University of Sydney results,20250322,0
FDB-000710,2025-06-07 00:00:00,CASE-016857,,Student,3,1,1,Post-case survey,4,3,Ownership,Synthetic feedback concerning ownership for accessibility.,1,Synthetic demonstration data — not actual University of Sydney results,20250607,1
FDB-000711,2025-02-16 00:00:00,CASE-012690,,Student,1,1,4,Post-case survey,4,4,Waiting time,Synthetic feedback concerning waiting time for fees and payments.,1,Synthetic demonstration data — not actual University of Sydney results,20250216,1
FDB-000712,2025-09-09 00:00:00,CASE-012051,,Student,1,1,1,Post-case survey,5,4,Waiting time,Synthetic feedback concerning waiting time for academic progression.,1,Synthetic demonstration data — not actual University of Sydney results,20250909,1
FDB-000713,2025-01-31 00:00:00,CASE-004850,,Student,2,3,1,Post-case survey,4,3,Waiting time,Synthetic feedback concerning waiting time for learning platform.,1,Synthetic demonstration data — not actual University of Sydney results,20250131,1
FDB-000714,2025-08-02 00:00:00,CASE-016107,,Student,1,1,2,Post-case survey,3,2,Outcome quality,Synthetic feedback concerning outcome quality for timetable and class allocation.,1,Synthetic demonstration data — not actual University of Sydney results,20250802,0
FDB-000715,2025-07-19 00:00:00,CASE-003018,,Student,1,3,4,Post-case survey,4,2,Ease of use,Synthetic feedback concerning ease of use for documents and letters.,1,Synthetic demonstration data — not actual University of Sydney results,20250719,1
FDB-000716,2026-05-19 00:00:00,CASE-010870,,Student,3,1,1,Post-case survey,4,4,Waiting time,Synthetic feedback concerning waiting time for security and lighting.,1,Synthetic demonstration data — not actual University of Sydney results,20260519,1
FDB-000717,2024-11-07 00:00:00,CASE-008460,,Student,2,1,5,Post-case survey,4,4,Waiting time,Synthetic feedback concerning waiting time for device and software.,1,Synthetic demonstration data — not actual University of Sydney results,20241107,1
FDB-000718,2025-08-19 00:00:00,CASE-003479,,Student,2,1,4,Post-case survey,3,4,Ease of use,Synthetic feedback concerning ease of use for device and software.,1,Synthetic demonstration data — not actual University of Sydney results,20250819,0
FDB-000719,2024-09-10 00:00:00,CASE-012839,,Student,2,2,4,Post-case survey,3,4,Outcome quality,Synthetic feedback concerning outcome quality for device and software.,1,Synthetic demonstration data — not actual University of Sydney results,20240910,0
FDB-000720,2024-10-25 00:00:00,CASE-002330,,Student,2,1,4,Post-case survey,3,1,Ease of use,Synthetic feedback concerning ease of use for account access and login.,1,Synthetic demonstration data — not actual University of Sydney results,20241025,0
FDB-000721,2025-02-22 00:00:00,CASE-003785,,Student,2,1,2,Post-case survey,4,3,Communication,Synthetic feedback concerning communication for multi-factor authentication.,1,Synthetic demonstration data — not actual University of Sydney results,20250222,1
FDB-000722,2026-04-02 00:00:00,CASE-002424,,Student,1,1,1,Post-case survey,3,4,Waiting time,Synthetic feedback concerning waiting time for fees and payments.,1,Synthetic demonstration data — not actual University of Sydney results,20260402,0
FDB-000723,2025-02-07 00:00:00,CASE-012012,,Student,1,1,1,Post-case survey,4,3,Clarity,Synthetic feedback concerning clarity for enrolment changes.,1,Synthetic demonstration data — not actual University of Sydney results,20250207,1
FDB-000724,2026-05-06 00:00:00,CASE-016778,,Student,1,2,2,Post-case survey,3,2,Clarity,Synthetic feedback concerning clarity for enrolment changes.,1,Synthetic demonstration data — not actual University of Sydney results,20260506,0
FDB-000725,2025-04-18 00:00:00,CASE-008725,,Academic Staff,3,1,6,Post-case survey,3,3,Outcome quality,Synthetic feedback concerning outcome quality for study spaces.,1,Synthetic demonstration data — not actual University of Sydney results,20250418,0
FDB-000726,2025-08-07 00:00:00,CASE-016782,,Student,2,3,5,Post-case survey,4,2,Ownership,Synthetic feedback concerning ownership for multi-factor authentication.,1,Synthetic demonstration data — not actual University of Sydney results,20250807,1
FDB-000727,2026-03-08 00:00:00,CASE-017160,,Professional Staff,2,1,7,Post-case survey,3,4,Clarity,Synthetic feedback concerning clarity for wi-fi and network.,1,Synthetic demonstration data — not actual University of Sydney results,20260308,0
FDB-000728,2025-03-30 00:00:00,CASE-004612,,Academic Staff,2,1,6,Post-case survey,5,4,Waiting time,Synthetic feedback concerning waiting time for device and software.,1,Synthetic demonstration data — not actual University of Sydney results,20250330,1
FDB-000729,2025-12-20 00:00:00,CASE-004764,,Student,1,1,1,Post-case survey,3,4,Communication,Synthetic feedback concerning communication for timetable and class allocation.,1,Synthetic demonstration data — not actual University of Sydney results,20251220,0
FDB-000730,2025-12-23 00:00:00,CASE-002672,,Student,1,2,1,Post-case survey,5,5,Ownership,Synthetic feedback concerning ownership for academic progression.,1,Synthetic demonstration data — not actual University of Sydney results,20251223,1
FDB-000731,2024-09-11 00:00:00,CASE-005706,,Student,1,3,4,Post-case survey,2,2,Waiting time,Synthetic feedback concerning waiting time for enrolment changes.,1,Synthetic demonstration data — not actual University of Sydney results,20240911,0
FDB-000732,2026-03-07 00:00:00,CASE-005973,,Student,1,3,5,Post-case survey,4,4,Communication,Synthetic feedback concerning communication for academic progression.,1,Synthetic demonstration data — not actual University of Sydney results,20260307,1
FDB-000733,2025-05-30 00:00:00,CASE-003756,,Student,2,1,1,Post-case survey,4,3,Outcome quality,Synthetic feedback concerning outcome quality for account access and login.,1,Synthetic demonstration data — not actual University of Sydney results,20250530,1
FDB-000734,2025-05-07 00:00:00,CASE-003799,,Student,3,1,5,Post-case survey,3,5,Clarity,Synthetic feedback concerning clarity for study spaces.,1,Synthetic demonstration data — not actual University of Sydney results,20250507,0
FDB-000735,2025-06-17 00:00:00,CASE-001920,,Student,1,1,1,Post-case survey,5,2,Waiting time,Synthetic feedback concerning waiting time for enrolment changes.,1,Synthetic demonstration data — not actual University of Sydney results,20250617,1
FDB-000736,2026-07-31 00:00:00,CASE-010489,,Student,1,2,3,Post-case survey,5,3,Ownership,Synthetic feedback concerning ownership for documents and letters.,1,Synthetic demonstration data — not actual University of Sydney results,20260731,1
FDB-000737,2026-07-25 00:00:00,CASE-004966,,Student,1,1,1,Post-case survey,4,3,Ease of use,Synthetic feedback concerning ease of use for fees and payments.,1,Synthetic demonstration data — not actual University of Sydney results,20260725,1
FDB-000738,2024-11-11 00:00:00,CASE-011368,,Student,3,2,2,Post-case survey,4,3,Clarity,Synthetic feedback concerning clarity for study spaces.,1,Synthetic demonstration data — not actual University of Sydney results,20241111,1
FDB-000739,2025-07-26 00:00:00,CASE-003054,,Student,1,2,4,Post-case survey,3,3,Waiting time,Synthetic feedback concerning waiting time for enrolment changes.,1,Synthetic demonstration data — not actual University of Sydney results,20250726,0
FDB-000740,2024-09-17 00:00:00,CASE-012663,,Student,3,1,2,Post-case survey,2,2,Waiting time,Synthetic feedback concerning waiting time for study spaces.,1,Synthetic demonstration data — not actual University of Sydney results,20240917,0
FDB-000741,2025-02-01 00:00:00,CASE-003669,,Student,1,1,1,Post-case survey,4,2,Waiting time,Synthetic feedback concerning waiting time for enrolment changes.,1,Synthetic demonstration data — not actual University of Sydney results,20250201,1
FDB-000742,2025-05-11 00:00:00,CASE-010969,,Student,1,1,2,Post-case survey,4,3,Waiting time,Synthetic feedback concerning waiting time for fees and payments.,1,Synthetic demonstration data — not actual University of Sydney results,20250511,1
FDB-000743,2025-08-06 00:00:00,CASE-006214,,Student,2,1,2,Post-case survey,4,2,Ease of use,Synthetic feedback concerning ease of use for account access and login.,1,Synthetic demonstration data — not actual University of Sydney results,20250806,1
FDB-000744,2026-04-27 00:00:00,CASE-005786,,Student,2,1,4,Post-case survey,3,3,Communication,Synthetic feedback concerning communication for wi-fi and network.,1,Synthetic demonstration data — not actual University of Sydney results,20260427,0
FDB-000745,2025-03-27 00:00:00,CASE-006253,,Student,2,1,5,Post-case survey,5,2,Clarity,Synthetic feedback concerning clarity for multi-factor authentication.,1,Synthetic demonstration data — not actual University of Sydney results,20250327,1
FDB-000746,2025-05-21 00:00:00,CASE-007262,,Student,1,1,5,Post-case survey,3,3,Ease of use,Synthetic feedback concerning ease of use for academic progression.,1,Synthetic demonstration data — not actual University of Sydney results,20250521,0
FDB-000747,2025-04-18 00:00:00,CASE-003617,,Student,1,3,5,Post-case survey,3,3,Clarity,Synthetic feedback concerning clarity for timetable and class allocation.,1,Synthetic demonstration data — not actual University of Sydney results,20250418,0
FDB-000748,2024-11-23 00:00:00,CASE-003379,,Professional Staff,2,1,7,Post-case survey,3,3,Waiting time,Synthetic feedback concerning waiting time for wi-fi and network.,1,Synthetic demonstration data — not actual University of Sydney results,20241123,0
FDB-000749,2026-05-05 00:00:00,CASE-017956,,Student,2,1,2,Post-case survey,4,5,Communication,Synthetic feedback concerning communication for learning platform.,1,Synthetic demonstration data — not actual University of Sydney results,20260505,1
FDB-000750,2025-12-26 00:00:00,CASE-013007,,Student,2,1,1,Post-case survey,4,4,Ownership,Synthetic feedback concerning ownership for learning platform.,1,Synthetic demonstration data — not actual University of Sydney results,20251226,1
FDB-000751,2025-09-17 00:00:00,CASE-007861,,Academic Staff,2,1,6,Post-case survey,4,4,Waiting time,Synthetic feedback concerning waiting time for learning platform.,1,Synthetic demonstration data — not actual University of Sydney results,20250917,1
FDB-000752,2025-04-11 00:00:00,CASE-002715,,Student,1,3,1,Post-case survey,5,3,Waiting time,Synthetic feedback concerning waiting time for enrolment changes.,1,Synthetic demonstration data — not actual University of Sydney results,20250411,1
FDB-000753,2025-07-16 00:00:00,CASE-013001,,Student,1,3,4,Post-case survey,3,3,Waiting time,Synthetic feedback concerning waiting time for fees and payments.,1,Synthetic demonstration data — not actual University of Sydney results,20250716,0
FDB-000754,2025-07-25 00:00:00,CASE-017210,,Academic Staff,3,1,6,Post-case survey,5,3,Waiting time,Synthetic feedback concerning waiting time for hvac and temperature.,1,Synthetic demonstration data — not actual University of Sydney results,20250725,1
FDB-000755,2026-08-11 00:00:00,CASE-017378,,Student,2,1,4,Post-case survey,2,2,Clarity,Synthetic feedback concerning clarity for multi-factor authentication.,1,Synthetic demonstration data — not actual University of Sydney results,20260811,0
FDB-000756,2025-08-10 00:00:00,CASE-010130,,Student,2,1,1,Post-case survey,3,4,Clarity,Synthetic feedback concerning clarity for account access and login.,1,Synthetic demonstration data — not actual University of Sydney results,20250810,0
FDB-000757,2025-03-14 00:00:00,CASE-001560,,Student,1,1,5,Post-case survey,5,4,Ownership,Synthetic feedback concerning ownership for documents and letters.,1,Synthetic demonstration data — not actual University of Sydney results,20250314,1
FDB-000758,2025-08-07 00:00:00,CASE-002710,,Student,1,1,1,Post-case survey,4,2,Waiting time,Synthetic feedback concerning waiting time for timetable and class allocation.,1,Synthetic demonstration data — not actual University of Sydney results,20250807,1
FDB-000759,2024-09-12 00:00:00,CASE-012192,,Student,2,1,1,Post-case survey,3,3,Ease of use,Synthetic feedback concerning ease of use for device and software.,1,Synthetic demonstration data — not actual University of Sydney results,20240912,0
FDB-000760,2025-03-08 00:00:00,CASE-010113,,Student,2,1,4,Post-case survey,3,3,Waiting time,Synthetic feedback concerning waiting time for multi-factor authentication.,1,Synthetic demonstration data — not actual University of Sydney results,20250308,0
FDB-000761,2026-06-09 00:00:00,CASE-006104,,Academic Staff,3,1,6,Post-case survey,4,4,Communication,Synthetic feedback concerning communication for security and lighting.,1,Synthetic demonstration data — not actual University of Sydney results,20260609,1
